#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH1A	MAOA	9606.ENSP00000209668	9606.ENSP00000340684	0	0	0	0	0.147	0	0.908	0.215	0.933
ADH1A	CYP26A1	9606.ENSP00000209668	9606.ENSP00000224356	0.042	0	0	0	0.067	0	0.900	0.382	0.937
ADH1A	AOX1	9606.ENSP00000209668	9606.ENSP00000363832	0	0	0	0	0.128	0	0.900	0.396	0.942
ADH1A	ALDH1A1	9606.ENSP00000209668	9606.ENSP00000297785	0.048	0.001	0	0	0.127	0	0.706	0.853	0.959
ADH1A	CYP2E1	9606.ENSP00000209668	9606.ENSP00000440689	0.042	0	0	0	0.152	0	0.900	0.607	0.963
ADH1A	AVP	9606.ENSP00000209668	9606.ENSP00000369647	0	0	0	0	0	0	0	0.963	0.963
ADH1A	ALDH2	9606.ENSP00000209668	9606.ENSP00000261733	0.048	0.001	0	0	0.170	0	0.706	0.906	0.975
ADH1A	ADH1C	9606.ENSP00000209668	9606.ENSP00000426083	0	0	0.048	0.985	0.777	0	0.900	0.302	0.983
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.048	0.985	0.631	0.300	0.900	0.629	0.989
ADH1B	CYP26A1	9606.ENSP00000306606	9606.ENSP00000224356	0.042	0	0	0	0.067	0	0.900	0.221	0.921
ADH1B	ALDH2	9606.ENSP00000306606	9606.ENSP00000261733	0.048	0.001	0	0	0.147	0	0.706	0.984	0.995
ADH1B	ALDH1A1	9606.ENSP00000306606	9606.ENSP00000297785	0.048	0.002	0	0	0.145	0	0.706	0.814	0.949
ADH1B	MAOA	9606.ENSP00000306606	9606.ENSP00000340684	0	0	0	0	0.159	0	0.908	0.359	0.946
ADH1B	AOX1	9606.ENSP00000306606	9606.ENSP00000363832	0	0	0	0	0.263	0	0.900	0.406	0.952
ADH1B	AVP	9606.ENSP00000306606	9606.ENSP00000369647	0	0	0	0	0	0	0	0.969	0.969
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0	0.047	0.986	0.478	0.621	0.900	0.378	0.986
ADH1B	CYP2E1	9606.ENSP00000306606	9606.ENSP00000440689	0.042	0	0	0	0.145	0	0.900	0.877	0.988
ADH1C	CYP26A1	9606.ENSP00000426083	9606.ENSP00000224356	0.042	0	0	0	0.085	0	0.900	0.265	0.926
ADH1C	ALDH2	9606.ENSP00000426083	9606.ENSP00000261733	0.048	0.001	0	0	0.186	0	0.706	0.958	0.989
ADH1C	ALDH1A1	9606.ENSP00000426083	9606.ENSP00000297785	0.048	0.001	0	0	0.205	0	0.706	0.687	0.921
ADH1C	MAOA	9606.ENSP00000426083	9606.ENSP00000340684	0	0	0	0	0.151	0	0.908	0.249	0.936
ADH1C	AOX1	9606.ENSP00000426083	9606.ENSP00000363832	0	0	0	0	0.104	0	0.900	0.304	0.932
ADH1C	AVP	9606.ENSP00000426083	9606.ENSP00000369647	0	0	0	0	0	0	0	0.956	0.956
ADH1C	CYP2E1	9606.ENSP00000426083	9606.ENSP00000440689	0.042	0	0	0	0.131	0	0.900	0.637	0.965
ALDH1A1	CYP26A1	9606.ENSP00000297785	9606.ENSP00000224356	0	0	0	0	0.067	0.045	0.910	0.652	0.968
ALDH1A1	ALDH2	9606.ENSP00000297785	9606.ENSP00000261733	0	0	0.054	0.972	0.235	0.165	0	0.066	0.360
ALDH1A1	MAOA	9606.ENSP00000297785	9606.ENSP00000340684	0.042	0.022	0	0	0.115	0	0.217	0.262	0.445
ALDH1A1	CYP2E1	9606.ENSP00000297785	9606.ENSP00000440689	0	0	0	0	0.057	0.045	0.138	0.383	0.456
ALDH1A1	AVP	9606.ENSP00000297785	9606.ENSP00000369647	0	0	0	0	0	0	0	0.739	0.739
ALDH1A1	AOX1	9606.ENSP00000297785	9606.ENSP00000363832	0	0	0	0	0.120	0	0.900	0.493	0.951
ALDH2	CYP26A1	9606.ENSP00000261733	9606.ENSP00000224356	0	0	0	0	0.067	0.045	0.138	0.202	0.305
ALDH2	AOX1	9606.ENSP00000261733	9606.ENSP00000363832	0	0	0	0	0.088	0	0	0.649	0.666
ALDH2	CYP2E1	9606.ENSP00000261733	9606.ENSP00000440689	0	0	0	0	0.057	0.045	0.138	0.837	0.857
ALDH2	AVP	9606.ENSP00000261733	9606.ENSP00000369647	0	0	0	0	0	0	0	0.923	0.923
ALDH2	MAOA	9606.ENSP00000261733	9606.ENSP00000340684	0.042	0.019	0	0	0.084	0	0.918	0.780	0.982
AOX1	CYP26A1	9606.ENSP00000363832	9606.ENSP00000224356	0	0	0	0	0.064	0	0.907	0.220	0.926
AOX1	MAOA	9606.ENSP00000363832	9606.ENSP00000340684	0	0	0	0	0.088	0	0.900	0.468	0.947
AOX1	AVP	9606.ENSP00000363832	9606.ENSP00000369647	0	0	0	0	0	0	0	0.290	0.290
AOX1	CYP2E1	9606.ENSP00000363832	9606.ENSP00000440689	0	0	0	0	0.073	0	0.172	0.445	0.537
AVP	CYP26A1	9606.ENSP00000369647	9606.ENSP00000224356	0	0	0	0	0.067	0	0	0.359	0.376
AVP	MAOA	9606.ENSP00000369647	9606.ENSP00000340684	0	0	0	0	0	0	0	0.385	0.385
AVP	CYP2E1	9606.ENSP00000369647	9606.ENSP00000440689	0	0	0	0	0.061	0	0	0.770	0.774
