#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACH1	ACS1	4932.YBL015W	4932.YAL054C	0.086	0	0	0	0.402	0	0.900	0.864	0.991
ACH1	ADH7	4932.YBL015W	4932.YCR105W	0.051	0	0	0	0	0.090	0	0.100	0.154
ACH1	GAD1	4932.YBL015W	4932.YMR250W	0	0	0	0	0.156	0	0	0	0.155
ACH1	UGA1	4932.YBL015W	4932.YGR019W	0.060	0	0	0	0.133	0.094	0	0	0.197
ACH1	ADH4	4932.YBL015W	4932.YGL256W	0.159	0	0	0	0.116	0	0.683	0.530	0.874
ACH1	ALD2	4932.YBL015W	4932.YMR170C	0.060	0	0	0	0.108	0	0.922	0.521	0.964
ACH1	ACS2	4932.YBL015W	4932.YLR153C	0.086	0	0	0	0.224	0.225	0.900	0.833	0.989
ACS1	FMS1	4932.YAL054C	4932.YMR020W	0	0	0	0	0.083	0	0	0.143	0.181
ACS1	GAD1	4932.YAL054C	4932.YMR250W	0	0	0	0	0.101	0	0	0.190	0.241
ACS1	PAN6	4932.YAL054C	4932.YIL145C	0.110	0	0	0	0	0.162	0	0.129	0.294
ACS1	ADH7	4932.YAL054C	4932.YCR105W	0.046	0	0	0	0.045	0	0.288	0.355	0.526
ACS1	ADH6	4932.YAL054C	4932.YMR318C	0.046	0	0	0	0	0	0.288	0.372	0.536
ACS1	UGA1	4932.YAL054C	4932.YGR019W	0	0	0	0	0.156	0	0.800	0.281	0.868
ACS1	ADH4	4932.YAL054C	4932.YGL256W	0.046	0	0	0	0.084	0	0.577	0.846	0.935
ACS1	ACS2	4932.YAL054C	4932.YLR153C	0	0	0.063	0.955	0.060	0.797	0.900	0.084	0.980
ACS1	ALD2	4932.YAL054C	4932.YMR170C	0.046	0	0	0	0.386	0	0.924	0.848	0.992
ACS2	ADH7	4932.YLR153C	4932.YCR105W	0.046	0	0	0	0	0	0.288	0.238	0.437
ACS2	ADH4	4932.YLR153C	4932.YGL256W	0.046	0	0	0	0.094	0.074	0.577	0.843	0.937
ACS2	UGA1	4932.YLR153C	4932.YGR019W	0	0	0	0	0.135	0	0.800	0.281	0.864
ACS2	PAN6	4932.YLR153C	4932.YIL145C	0.110	0	0	0	0.044	0.162	0	0.154	0.316
ACS2	FMS1	4932.YLR153C	4932.YMR020W	0	0	0	0	0.055	0	0	0.196	0.208
ACS2	ADH6	4932.YLR153C	4932.YMR318C	0.046	0	0	0	0.066	0	0.288	0.364	0.543
ACS2	ALD2	4932.YLR153C	4932.YMR170C	0.046	0	0	0	0.356	0	0.924	0.813	0.990
ADH4	ADH7	4932.YGL256W	4932.YCR105W	0.085	0	0	0	0.196	0.170	0.375	0.824	0.920
ADH4	FMS1	4932.YGL256W	4932.YMR020W	0	0	0	0	0.042	0	0	0.153	0.154
ADH4	GAD1	4932.YGL256W	4932.YMR250W	0	0	0	0	0	0	0.179	0.060	0.195
ADH4	UGA1	4932.YGL256W	4932.YGR019W	0.131	0	0	0	0.093	0	0.683	0.263	0.791
ADH4	ADH6	4932.YGL256W	4932.YMR318C	0.085	0	0	0	0.187	0.170	0.375	0.833	0.924
ADH4	ALD2	4932.YGL256W	4932.YMR170C	0.075	0.200	0	0	0.225	0.074	0.756	0.732	0.957
ADH6	ADH7	4932.YMR318C	4932.YCR105W	0	0	0.056	0.968	0	0.994	0.900	0.072	0.999
ADH6	ALD2	4932.YMR318C	4932.YMR170C	0.046	0	0	0	0.106	0	0.923	0.529	0.965
ADH6	GAD1	4932.YMR318C	4932.YMR250W	0	0	0	0	0.082	0	0.108	0.057	0.160
ADH7	UGA1	4932.YCR105W	4932.YGR019W	0	0	0	0	0.056	0	0	0.137	0.151
ADH7	GAD1	4932.YCR105W	4932.YMR250W	0	0	0	0	0.082	0	0.108	0.057	0.160
ADH7	ALD2	4932.YCR105W	4932.YMR170C	0.046	0	0	0	0.106	0	0.923	0.320	0.949
ALD2	UGA1	4932.YMR170C	4932.YGR019W	0.075	0	0	0	0.333	0.166	0.930	0.246	0.968
ALD2	PAN6	4932.YMR170C	4932.YIL145C	0	0	0	0	0	0	0.900	0.409	0.938
ALD2	FMS1	4932.YMR170C	4932.YMR020W	0.047	0	0	0	0.093	0	0.930	0.655	0.976
ALD2	GAD1	4932.YMR170C	4932.YMR250W	0	0	0	0	0.315	0.043	0.922	0.276	0.958
FMS1	UGA1	4932.YMR020W	4932.YGR019W	0.109	0	0	0	0.134	0	0	0.555	0.627
FMS1	PAN6	4932.YMR020W	4932.YIL145C	0	0	0	0	0	0	0	0.772	0.772
FMS1	GAD1	4932.YMR020W	4932.YMR250W	0	0	0	0	0.112	0.092	0	0.198	0.296
GAD1	UGA1	4932.YMR250W	4932.YGR019W	0.102	0	0	0	0.417	0.428	0.941	0.978	0.999
GAD1	PAN6	4932.YMR250W	4932.YIL145C	0.096	0	0	0	0.349	0	0.900	0.248	0.949
PAN6	UGA1	4932.YIL145C	4932.YGR019W	0	0	0	0	0	0	0.900	0.168	0.913
